param	ESS
lnl	535.39
s0	297.05
s1	532.5
tau	296.37
alpha_r_library_1	1932.93
alpha_r_library_2	1452.79
alpha_r_library_3	1995.68
spike_probability	2079.17
inactive_mean	975.88
inactive_variance	662.58
active_mean_component1	559.67
active_mean_component2	4001
active_variance_component1	599.09
active_variance_component2	599.09
weight_active	534.46
weight_within_active_component_1	879.32
weight_within_active_component_2	879.32
