param_or_gene	ESS
TRINITY_DN115934_c0_g1_i21	0
TRINITY_DN117209_c5_g5_i4	51.06
TRINITY_DN118193_c9_g1_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118193_c9_g1_i7	0
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN126072_c3_g1_i13	0
TRINITY_DN127883_c1_g1_i4	0
TRINITY_DN115934_c0_g1_i21	0
TRINITY_DN117209_c5_g5_i4	80.12
TRINITY_DN118193_c9_g1_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118193_c9_g1_i7	0
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN121622_c2_g2_i3	93.3
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN125690_c0_g1_i1	88.27
TRINITY_DN126072_c3_g1_i13	0
TRINITY_DN126235_c2_g1_i1	98.12
TRINITY_DN126515_c0_g1_i2	87.41
TRINITY_DN127038_c2_g1_i1	98.18
TRINITY_DN127883_c1_g1_i4	0
TRINITY_DN129130_c4_g1_i1	99.53
TRINITY_DN148266_c0_g1_i1	89.79
TRINITY_DN155428_c0_g1_i1	88.28
