param	ESS
lnl	361.12
s0	172.44
s1	302.18
tau	162.84
alpha_r_library_1	1037.24
alpha_r_library_2	1355
alpha_r_library_3	943.55
spike_probability	1061.47
inactive_mean	986.24
inactive_variance	461.83
active_mean_component1	671.47
active_mean_component2	3462.72
active_variance_component1	705.52
active_variance_component2	705.52
weight_active	597.01
weight_within_active_component_1	1348.18
weight_within_active_component_2	1348.18
