param	ESS
lnl	270.6
s0	140.38
s1	308.55
tau	133.31
alpha_r_library_1	1202.27
alpha_r_library_2	1375.8
alpha_r_library_3	1274
spike_probability	988
inactive_mean	824.2
inactive_variance	424.82
active_mean_component1	568.17
active_mean_component2	3449.96
active_variance_component1	711.51
active_variance_component2	711.51
weight_active	533.92
weight_within_active_component_1	1401.91
weight_within_active_component_2	1401.91
