param	ESS
lnl	672.66
s0	325.18
s1	634.94
tau	318.33
alpha_r_library_1	1815.16
alpha_r_library_2	1470.68
alpha_r_library_3	1790.39
spike_probability	2640.46
inactive_mean	1065.93
inactive_variance	743.48
active_mean_component1	512.11
active_mean_component2	4001
active_variance_component1	546.88
active_variance_component2	546.88
weight_active	524.81
weight_within_active_component_1	895.9
weight_within_active_component_2	895.9
