param	ESS
lnl	387.24
s0	166.31
s1	309.61
tau	160.57
alpha_r_library_1	1128.77
alpha_r_library_2	1554.83
alpha_r_library_3	1232.68
spike_probability	1180.71
inactive_mean	1135.71
inactive_variance	449.4
active_mean_component1	625.06
active_mean_component2	3605.16
active_variance_component1	656.67
active_variance_component2	656.67
weight_active	618.62
weight_within_active_component_1	1251.28
weight_within_active_component_2	1251.28
