param	ESS
lnl	538.72
s0	244.95
s1	575.36
tau	247.48
alpha_r_library_1	1986.2
alpha_r_library_2	1165.21
alpha_r_library_3	1624.99
spike_probability	2002.83
inactive_mean	1114.68
inactive_variance	699.84
active_mean_component1	570.54
active_mean_component2	4001
active_variance_component1	551.37
active_variance_component2	551.37
weight_active	564.07
weight_within_active_component_1	829.85
weight_within_active_component_2	829.85
