param	ESS
lnl	668.65
s0	323.69
s1	561.69
tau	319.33
alpha_r_library_1	1223.35
alpha_r_library_2	1496.03
alpha_r_library_3	1480.93
spike_probability	1877.06
inactive_mean	1219.18
inactive_variance	603.79
active_mean_component1	551.51
active_mean_component2	4001
active_variance_component1	526.45
active_variance_component2	526.45
weight_active	548.99
weight_within_active_component_1	863.97
weight_within_active_component_2	863.97
