param	ESS
lnl	694.25
s0	337.06
s1	782.1
tau	375.37
alpha_r_library_1	1686.8
alpha_r_library_2	1627.79
alpha_r_library_3	1874.03
spike_probability	1502.88
inactive_mean	344.01
inactive_variance	437.87
active_mean_component1	210.23
active_mean_component2	940.71
active_variance_component1	193.37
active_variance_component2	193.37
weight_active	193.13
weight_within_active_component_1	240.99
weight_within_active_component_2	240.99
