param	ESS
lnl	577.89
s0	289.69
s1	658.03
tau	279.95
alpha_r_library_1	1578.63
alpha_r_library_2	1770.84
alpha_r_library_3	1746.74
spike_probability	995.48
inactive_mean	326.73
inactive_variance	336.67
active_mean_component1	169.81
active_mean_component2	945.3
active_variance_component1	177.02
active_variance_component2	177.02
weight_active	168.82
weight_within_active_component_1	293.17
weight_within_active_component_2	293.17
