param	ESS
lnl	430.81
s0	176.8
s1	316.92
tau	162.97
alpha_r_library_1	978.97
alpha_r_library_2	1192.03
alpha_r_library_3	868.3
spike_probability	1166.44
inactive_mean	1059.42
inactive_variance	524.21
active_mean_component1	652.42
active_mean_component2	4001
active_variance_component1	565.83
active_variance_component2	565.83
weight_active	734.8
weight_within_active_component_1	1538.81
weight_within_active_component_2	1538.81
