param_or_gene	ESS
s0	176.8
tau	162.97
TRINITY_DN121614_c1_g1_i3	99.27
TRINITY_DN149813_c0_g1_i1	86.5
TRINITY_DN187769_c0_g1_i1	83.9
TRINITY_DN118683_c10_g1_i1	95.43
TRINITY_DN121460_c4_g3_i16	96.54
TRINITY_DN123764_c3_g1_i5	70.27
TRINITY_DN125060_c2_g3_i2	93.55
TRINITY_DN127948_c9_g2_i11	89.39
TRINITY_DN135806_c0_g1_i1	88
TRINITY_DN72813_c0_g1_i1	99.74
