param	ESS
lnl	730.57
s0	334.68
s1	704.36
tau	354.32
alpha_r_library_1	2054.63
alpha_r_library_2	1543.88
alpha_r_library_3	1587.35
spike_probability	879.87
inactive_mean	270.02
inactive_variance	334.98
active_mean_component1	169.52
active_mean_component2	945.19
active_variance_component1	151.72
active_variance_component2	151.72
weight_active	172.39
weight_within_active_component_1	304.76
weight_within_active_component_2	304.76
