param	ESS
lnl	279.96
s0	129.89
s1	371.91
tau	130.08
alpha_r_library_1	1121.79
alpha_r_library_2	1375.57
alpha_r_library_3	1152.81
spike_probability	1127.18
inactive_mean	977.11
inactive_variance	461
active_mean_component1	531.97
active_mean_component2	3715.07
active_variance_component1	580.81
active_variance_component2	580.81
weight_active	561.66
weight_within_active_component_1	1226.13
weight_within_active_component_2	1226.13
