param	ESS
lnl	909.23
s0	444.93
s1	904.74
tau	439.8
alpha_r_library_1	1701.13
alpha_r_library_2	1573.56
alpha_r_library_3	2303.78
spike_probability	2125.43
inactive_mean	359.39
inactive_variance	441.19
active_mean_component1	188
active_mean_component2	3285.76
active_variance_component1	179.05
active_variance_component2	179.05
weight_active	196.79
weight_within_active_component_1	242.03
weight_within_active_component_2	242.03
