param_or_gene	ESS
active_mean_component1	188
active_variance_component1	179.05
active_variance_component2	179.05
weight_active	196.79
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117988_c1_g1_i12	0
TRINITY_DN118069_c3_g3_i8	0
TRINITY_DN118388_c3_g1_i6	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN120669_c0_g1_i4	71.71
TRINITY_DN120816_c2_g1_i6	0
TRINITY_DN121873_c4_g1_i1	58.64
TRINITY_DN122474_c3_g1_i8	0
TRINITY_DN122474_c3_g1_i9	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i6	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124683_c3_g1_i5	0
TRINITY_DN124868_c1_g1_i8	5.85
TRINITY_DN126465_c3_g1_i3	16.15
TRINITY_DN127469_c0_g7_i2	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN129015_c6_g1_i2	72.25
TRINITY_DN129349_c1_g1_i1	90.63
TRINITY_DN129510_c0_g2_i2	86.15
TRINITY_DN116418_c3_g2_i1	84.92
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117988_c1_g1_i12	0
TRINITY_DN118069_c3_g3_i8	0
TRINITY_DN118388_c3_g1_i6	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119516_c0_g1_i1	93.69
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN119901_c11_g3_i1	85.53
TRINITY_DN120669_c0_g1_i4	55.65
TRINITY_DN120816_c2_g1_i6	0
TRINITY_DN121601_c1_g1_i10	86.54
TRINITY_DN122474_c3_g1_i8	0
TRINITY_DN122474_c3_g1_i9	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i6	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123492_c7_g1_i1	89
TRINITY_DN123794_c4_g1_i3	84.07
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124683_c3_g1_i5	0
TRINITY_DN124868_c1_g1_i8	7.33
TRINITY_DN126171_c0_g1_i1	97.77
TRINITY_DN126465_c3_g1_i3	18.34
TRINITY_DN127469_c0_g7_i2	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN128099_c13_g1_i2	90.69
TRINITY_DN129015_c6_g1_i2	95.2
TRINITY_DN129510_c0_g2_i2	70.65
TRINITY_DN129788_c7_g1_i7	92.48
TRINITY_DN134970_c0_g1_i1	63.36
TRINITY_DN16070_c0_g2_i1	81.56
TRINITY_DN166249_c0_g1_i1	89.37
