param	ESS
lnl	857.16
s0	448.54
s1	734.35
tau	508.3
alpha_r_library_1	1836.52
alpha_r_library_2	1832.96
alpha_r_library_3	2137.22
spike_probability	630.72
inactive_mean	87.42
inactive_variance	153.76
active_mean_component1	55.46
active_mean_component2	1576.88
active_variance_component1	54.72
active_variance_component2	54.72
weight_active	50.47
weight_within_active_component_1	75.21
weight_within_active_component_2	75.21
