param_or_gene	ESS
inactive_mean	87.42
inactive_variance	153.76
active_mean_component1	55.46
active_variance_component1	54.72
active_variance_component2	54.72
weight_active	50.47
weight_within_active_component_1	75.21
weight_within_active_component_2	75.21
TRINITY_DN110010_c0_g2_i1	88.99
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119549_c0_g1_i2	2.76
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN119974_c2_g1_i6	0
TRINITY_DN120816_c2_g1_i1	0
TRINITY_DN121258_c5_g7_i1	63.42
TRINITY_DN121532_c1_g1_i6	82.81
TRINITY_DN121957_c1_g1_i13	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN124065_c1_g2_i3	53.46
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124683_c3_g1_i5	0
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN125556_c0_g1_i2	98.63
TRINITY_DN125595_c3_g1_i11	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN127934_c1_g3_i13	0
TRINITY_DN128349_c0_g1_i1	82.19
TRINITY_DN129119_c1_g1_i2	60.52
TRINITY_DN129788_c6_g2_i11	92.01
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN93198_c0_g2_i1	82.34
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118154_c2_g2_i2	80.41
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119549_c0_g1_i2	4.14
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN119974_c2_g1_i6	0
TRINITY_DN120816_c2_g1_i1	0
TRINITY_DN121258_c5_g7_i1	76.34
TRINITY_DN121532_c1_g1_i6	87.04
TRINITY_DN121957_c1_g1_i13	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123651_c5_g3_i2	69.66
TRINITY_DN124065_c1_g2_i3	96.42
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124683_c3_g1_i5	0
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN125595_c3_g1_i11	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN127934_c1_g3_i13	0
TRINITY_DN129119_c1_g1_i2	61.52
TRINITY_DN129788_c6_g2_i11	91.56
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN130283_c0_g1_i1	83.59
TRINITY_DN133577_c0_g1_i1	91.91
TRINITY_DN135435_c0_g1_i1	96.35
TRINITY_DN137371_c0_g1_i1	60.44
TRINITY_DN164318_c0_g1_i1	61.67
