param	ESS
lnl	585.66
s0	331.95
s1	471.47
tau	324.39
alpha_r_library_1	1647.01
alpha_r_library_2	1579.55
alpha_r_library_3	1565.4
spike_probability	2255.37
inactive_mean	1181.33
inactive_variance	746.28
active_mean_component1	558
active_mean_component2	3752.09
active_variance_component1	624.35
active_variance_component2	624.35
weight_active	584.85
weight_within_active_component_1	1006.77
weight_within_active_component_2	1006.77
