param_or_gene	ESS
active_mean_component1	168.72
active_variance_component1	169.57
active_variance_component2	169.57
weight_active	154.16
TRINITY_DN117209_c5_g5_i4	24.8
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117588_c2_g3_i3	0
TRINITY_DN117588_c2_g3_i4	0
TRINITY_DN118388_c3_g1_i9	0
TRINITY_DN118992_c1_g2_i2	0
TRINITY_DN118992_c1_g2_i8	0
TRINITY_DN119077_c0_g1_i4	0
TRINITY_DN122644_c2_g1_i6	0
TRINITY_DN122644_c2_g1_i9	0
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125033_c0_g1_i4	0
TRINITY_DN125881_c0_g2_i3	0
TRINITY_DN126072_c3_g1_i13	0
TRINITY_DN127883_c1_g1_i13	0
TRINITY_DN127883_c1_g1_i4	0
TRINITY_DN109629_c0_g1_i1	96.72
TRINITY_DN112278_c0_g1_i1	80.28
TRINITY_DN117209_c5_g5_i4	28.62
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117588_c2_g3_i3	0
TRINITY_DN117588_c2_g3_i4	0
TRINITY_DN118388_c3_g1_i9	0
TRINITY_DN118992_c1_g2_i2	0
TRINITY_DN118992_c1_g2_i8	0
TRINITY_DN119064_c1_g4_i3	93.12
TRINITY_DN119077_c0_g1_i4	0
TRINITY_DN120788_c13_g2_i2	78.7
TRINITY_DN121114_c8_g4_i2	88.69
TRINITY_DN121173_c2_g2_i1	66.01
TRINITY_DN121389_c1_g4_i1	85.61
TRINITY_DN122644_c2_g1_i6	0
TRINITY_DN122644_c2_g1_i9	0
TRINITY_DN124176_c4_g1_i1	91.07
TRINITY_DN124425_c0_g1_i7	97.37
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125033_c0_g1_i4	0
TRINITY_DN125079_c1_g2_i5	92.55
TRINITY_DN125881_c0_g2_i3	0
TRINITY_DN126072_c3_g1_i13	0
TRINITY_DN126765_c2_g1_i4	99.62
TRINITY_DN126857_c6_g1_i2	84.76
TRINITY_DN127037_c1_g1_i1	91.84
TRINITY_DN127883_c1_g1_i13	0
TRINITY_DN127883_c1_g1_i4	0
TRINITY_DN128745_c1_g2_i1	96.94
TRINITY_DN148285_c0_g1_i1	99.21
TRINITY_DN162254_c0_g1_i1	95.46
TRINITY_DN89532_c0_g4_i1	87.64
