param	ESS
lnl	708.02
s0	357.69
s1	933.89
tau	383.49
alpha_r_library_1	1907.02
alpha_r_library_2	1747.43
alpha_r_library_3	1674.79
spike_probability	1708.55
inactive_mean	439.45
inactive_variance	610.83
active_mean_component1	305.92
active_mean_component2	4001
active_variance_component1	228.73
active_variance_component2	228.73
weight_active	268.81
weight_within_active_component_1	257.2
weight_within_active_component_2	257.2
