param_or_gene	ESS
TRINITY_DN113326_c0_g1_i2	94.21
TRINITY_DN117360_c0_g1_i9	0
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN122474_c3_g1_i4	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122931_c1_g1_i2	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN124277_c0_g2_i1	97.65
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124896_c9_g1_i1	0
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN126465_c3_g1_i3	76.56
TRINITY_DN127549_c0_g3_i3	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN129788_c7_g1_i7	73.74
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN110352_c0_g1_i1	98.85
TRINITY_DN115231_c0_g2_i2	89.42
TRINITY_DN115462_c0_g3_i4	97.96
TRINITY_DN117061_c3_g6_i1	58.68
TRINITY_DN117360_c0_g1_i9	0
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN118719_c2_g4_i3	96.58
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN120669_c0_g1_i6	90.28
TRINITY_DN122474_c3_g1_i4	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122931_c1_g1_i2	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123961_c5_g1_i21	99.78
TRINITY_DN124301_c1_g3_i3	0
TRINITY_DN124896_c9_g1_i1	0
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN127549_c0_g3_i3	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN128334_c0_g1_i2	84.88
TRINITY_DN129788_c7_g1_i7	65.34
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN141250_c0_g1_i1	93.05
