param_or_gene	ESS
inactive_mean	143.23
inactive_variance	126.06
active_mean_component1	44.27
active_variance_component1	31.41
active_variance_component2	31.41
weight_active	33.43
weight_within_active_component_1	38.83
weight_within_active_component_2	38.83
TRINITY_DN117360_c0_g1_i9	0
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117848_c4_g1_i13	0
TRINITY_DN118108_c0_g2_i1	99.58
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118922_c2_g2_i4	0
TRINITY_DN119322_c0_g3_i2	0
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN122227_c0_g1_i6	76.8
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122807_c4_g2_i1	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123405_c10_g1_i2	0
TRINITY_DN124304_c0_g1_i4	91.57
TRINITY_DN124868_c1_g1_i8	56.3
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN125595_c2_g1_i5	0
TRINITY_DN125595_c3_g1_i11	0
TRINITY_DN126321_c3_g2_i11	0
TRINITY_DN126465_c3_g1_i3	36.8
TRINITY_DN126554_c0_g3_i4	0
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN128266_c1_g1_i2	57.74
TRINITY_DN128857_c8_g1_i5	0
TRINITY_DN129788_c6_g1_i3	46.02
TRINITY_DN129788_c7_g1_i7	76.65
TRINITY_DN129851_c4_g1_i2	0
TRINITY_DN117357_c0_g1_i7	95.28
TRINITY_DN117360_c0_g1_i9	0
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117848_c4_g1_i13	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118922_c2_g2_i4	0
TRINITY_DN119322_c0_g3_i2	0
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN120237_c3_g5_i1	96.07
TRINITY_DN120966_c11_g1_i1	97.05
TRINITY_DN121064_c1_g1_i1	72.82
TRINITY_DN121468_c4_g1_i2	90.33
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122807_c4_g2_i1	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123405_c10_g1_i2	0
TRINITY_DN124868_c1_g1_i8	74.98
TRINITY_DN124896_c9_g1_i22	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN125595_c2_g1_i5	0
TRINITY_DN125595_c3_g1_i11	0
TRINITY_DN126133_c2_g2_i2	70.25
TRINITY_DN126321_c3_g2_i11	0
TRINITY_DN126465_c3_g1_i3	47.53
TRINITY_DN126554_c0_g3_i4	0
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127733_c3_g1_i10	78.97
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN127933_c8_g1_i5	88.85
TRINITY_DN128266_c1_g1_i2	82.31
TRINITY_DN128316_c4_g3_i1	77.78
TRINITY_DN128857_c8_g1_i5	0
TRINITY_DN128873_c3_g1_i7	92.97
TRINITY_DN129788_c6_g1_i3	88.95
TRINITY_DN129833_c37_g1_i1	90.63
TRINITY_DN129851_c4_g1_i2	0
TRINITY_DN54260_c0_g1_i1	96.66
TRINITY_DN71105_c0_g2_i1	98.66
