param	ESS
lnl	687.63
s0	353.59
s1	559.65
tau	372.77
alpha_r_library_1	2066.09
alpha_r_library_2	1486.7
alpha_r_library_3	1770.13
spike_probability	2319.56
inactive_mean	1182.62
inactive_variance	661.86
active_mean_component1	500.76
active_mean_component2	4001
active_variance_component1	505.62
active_variance_component2	505.62
weight_active	497.26
weight_within_active_component_1	826.95
weight_within_active_component_2	826.95
