param_or_gene	ESS
active_mean_component1	178.27
active_variance_component1	131.89
active_variance_component2	131.89
weight_active	143.46
weight_within_active_component_1	147.07
weight_within_active_component_2	147.07
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118388_c3_g1_i6	0
TRINITY_DN119401_c1_g1_i1	81.65
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN119974_c2_g1_i6	0
TRINITY_DN120217_c0_g1_i1	0
TRINITY_DN120816_c1_g4_i1	95.9
TRINITY_DN122292_c3_g1_i1	56.52
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122931_c1_g1_i2	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123833_c2_g2_i10	0
TRINITY_DN124868_c1_g1_i8	3.53
TRINITY_DN125033_c0_g1_i10	0
TRINITY_DN125033_c0_g1_i12	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125230_c3_g1_i14	95.53
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127469_c0_g3_i2	0
TRINITY_DN129788_c7_g1_i4	52.4
TRINITY_DN114724_c0_g1_i1	87.76
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN117925_c4_g5_i1	70.89
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118388_c3_g1_i6	0
TRINITY_DN119767_c1_g1_i4	0
TRINITY_DN119974_c2_g1_i6	0
TRINITY_DN120217_c0_g1_i1	0
TRINITY_DN120512_c0_g2_i3	96.19
TRINITY_DN121469_c3_g1_i6	95.64
TRINITY_DN121820_c16_g2_i1	87.78
TRINITY_DN122292_c3_g1_i1	55.49
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122644_c2_g1_i7	0
TRINITY_DN122931_c1_g1_i2	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN123421_c1_g1_i1	98.62
TRINITY_DN123833_c2_g2_i10	0
TRINITY_DN124868_c1_g1_i8	5.88
TRINITY_DN125033_c0_g1_i10	0
TRINITY_DN125033_c0_g1_i12	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125230_c3_g1_i14	98.58
TRINITY_DN125322_c2_g1_i3	0
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127469_c0_g3_i2	0
TRINITY_DN129788_c7_g1_i4	96.03
TRINITY_DN152041_c0_g1_i1	89.49
