param	ESS
lnl	345.28
s0	155.91
s1	330.07
tau	137.15
alpha_r_library_1	813.2
alpha_r_library_2	1396.95
alpha_r_library_3	955.25
spike_probability	1094.41
inactive_mean	991.28
inactive_variance	486.1
active_mean_component1	587.97
active_mean_component2	2805.47
active_variance_component1	814.38
active_variance_component2	814.38
weight_active	575.6
weight_within_active_component_1	1708.07
weight_within_active_component_2	1708.07
