param	ESS
lnl	756.64
s0	379.79
s1	681.14
tau	401.78
alpha_r_library_1	1751.27
alpha_r_library_2	1626.79
alpha_r_library_3	1972.24
spike_probability	955.16
inactive_mean	267.92
inactive_variance	259.6
active_mean_component1	148.58
active_mean_component2	823.71
active_variance_component1	155.13
active_variance_component2	155.13
weight_active	154.83
weight_within_active_component_1	323.77
weight_within_active_component_2	323.77
